ISO3,Country,Language,,,,,,
PRK,Democratic People's Republic of Korea,EN,,,,,,
PAK,Pakistan,EN,,,,,,
PHL,Philippines,EN,,,,,,
PSE,Palestine,EN,,,,,,
POL,Poland,EN,,,,,,
PRT,Portugal,EN,,,,,,
PRI,Puerto Rico,EN,,,,,,
PAN,Panama,ES,,,,,,
PYF,French Polynesia,FR,,,,,,
PLW,Palau,EN,,,,,,
PNG,Papua New Guinea,EN,,,,,,
PCN,Pitcairn Islands,EN,,,,,,
PRY,Paraguay,ES,,,,,,
PER,Peru,ES,,,,,,
QAT,Qatar,AR,,,,,,
REU,Réunion,FR,,,,,,
RWA,Rwanda,EN,,,,,,
ROU,Romania,EN,,,,,,
RUS,Russian Federation,RU,,,,,,
SWZ,Eswatini,EN,,,,,,
SYC,Seychelles,EN,,,,,,
SOM,Somalia,EN,,,,,,
SSD,South Sudan,EN,,,,,,
SDN,Sudan,EN,,,,,,
SHN,"Ascension, Saint Helena and Tristan da Cunha",EN,,,,,,
STP,Sao Tome and Principe,FR,,,,,,
SEN,Senegal,FR,,,,,,
SLE,Sierra Leone,EN,,,,,,
SGP,Singapore,EN,,,,,,
SAU,Saudi Arabia,AR,,,,,,
SYR,Syrian Arab Republic,AR,,,,,,
SMR,San Marino,EN,,,,,,
SRB,Serbia,EN,,,,,,
SVK,Slovakia,EN,,,,,,
SVN,Slovenia,EN,,,,,,
SJM,Svalbard and Jan Mayen Islands,EN,,,,,,
SWE,Sweden,EN,,,,,,
SXM,Sint Maarten (Dutch part),EN,,,,,,
SLV,El Salvador,ES,,,,,,
SPM,Saint Pierre and Miquelon,FR,,,,,,
SLB,Solomon Islands,EN,,,,,,
SUR,Suriname,EN,,,,,,
TZA,United Republic of Tanzania,EN,,,,,,
TUN,Tunisia,FR,,,,,,
TCD,Chad,FR,,,,,,
TGO,Togo,FR,,,,,,
THA,Thailand,EN,,,,,,
TLS,Timor-Leste,EN,,,,,,
TJK,Tajikistan,EN,,,,,,
TUR,Türkiye,EN,,,,,,
TKM,Turkmenistan,EN,,,,,,
