ISO3_code,Country,IdCountry,Url
ROU,ROMANIA                                           ,9D945F13-B5A3-4639-AB7C-2C9E4C7E73EE,https://gis.nlcsk.org/questionnaire?country=9D945F13-B5A3-4639-AB7C-2C9E4C7E73EE
RUS,RUSSIAN FEDERATION                                ,50D29BC6-0FF6-4EC4-9981-B514098DA89A,https://gis.nlcsk.org/questionnaire?country=50D29BC6-0FF6-4EC4-9981-B514098DA89A
SRB,SERBIA                                            ,19F2C1D0-5C55-4B7B-AFED-4408683C40AC,https://gis.nlcsk.org/questionnaire?country=19F2C1D0-5C55-4B7B-AFED-4408683C40AC
SVK,SLOVAK REPUBLIC                                   ,4ABDE62F-A871-492F-A0ED-415E1FBF67FA,https://gis.nlcsk.org/questionnaire?country=4ABDE62F-A871-492F-A0ED-415E1FBF67FA
SVN,SLOVENIA                                          ,8B533E48-FB62-435F-A6A5-D191BA99902A,https://gis.nlcsk.org/questionnaire?country=8B533E48-FB62-435F-A6A5-D191BA99902A
ESP,SPAIN                                             ,340BC29A-010F-41A6-B28B-62E967CBD5BA,https://gis.nlcsk.org/questionnaire?country=340BC29A-010F-41A6-B28B-62E967CBD5BA
SWE,SWEDEN                                            ,A05A94D3-2CCB-4FC9-A65E-058FD8E1AE13,https://gis.nlcsk.org/questionnaire?country=A05A94D3-2CCB-4FC9-A65E-058FD8E1AE13
CHE,SWITZERLAND                                       ,911832F9-1B84-4235-A829-0FFBE170E491,https://gis.nlcsk.org/questionnaire?country=911832F9-1B84-4235-A829-0FFBE170E491
MKD,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA         ,C59D657C-96E0-41AE-94EC-5853FC64A4EC,https://gis.nlcsk.org/questionnaire?country=C59D657C-96E0-41AE-94EC-5853FC64A4EC
TUR,TURKEY                                            ,A0D7AC1D-6378-42DE-9CA6-80C680A5697E,https://gis.nlcsk.org/questionnaire?country=A0D7AC1D-6378-42DE-9CA6-80C680A5697E
UKR,UKRAINE                                           ,AA6E514D-B848-4F95-8401-D9CD59BAE4C5,https://gis.nlcsk.org/questionnaire?country=AA6E514D-B848-4F95-8401-D9CD59BAE4C5
GBR,UNITED KINGDOM                                    ,9FDEFD11-487E-49BC-BB29-D6F18E0940C4,https://gis.nlcsk.org/questionnaire?country=9FDEFD11-487E-49BC-BB29-D6F18E0940C4
