,FRA 2015 forest area (1000 ha),,,,
NOR,12132,12113,12092,12102,12112
NPL,4817,3900,3636,3636,3636
NRU,0,0,0,0,0
NZL,9658,10139,10183,10151,10152
OMN,2,2,2,2,2
PAK,2527,2116,1902,1687,1472
PAN,5040,4867,4782,4699,4617
PCN,3.5,3.5,3.5,3.5,3.5
PER,77921,76147,75528,74811,73973
PHL,6555,7027,7074,6840,8040
PLW,38.154,39.587,40.303,40.303,40.303
PNG,33627,33600,33586,33573,33559
POL,8881,9059,9200,9329,9435
PRI,287,450.09,462.87,479.41,495.95
PRK,8201,6933,6299,5666,5031
PRT,3436,3343,3296,3239,3182
PRY,21157,19368,18475,16950,15323
PSE,9.08,9.08,9.17,9.17,9.17
PYF,55,105,130,155,155
QAT,0,0,0,0,0
REU,87,87,85,88,88
ROU,6371,6366,6391,6515,6861
RUS,808949.9,809268.5,808790,815135.6,814930.5
RWA,318,344,385,446,480
SAU,977,977,977,977,977
SDN,23570.313,21826.163,20954.088,20082.012,19209.938
SEN,9348,8898,8673,8473,8273
SGP,16.35,16.35,16.35,16.35,16.35
SHN,2,2,2,2,2
SJM,0,0,0,0,0
SLB,2324,2268,2241,2213,2185
SLE,3118,2922,2824,2726,3044
SLV,377,332,309,287,265
SMR,0,0,0,0,0
SOM,8282,7515,7131,6747,6363
SPM,3.4,3.2,3,2.9,2.8
SRB,2313,2460,2476,2713,2720
SSD,7157,7157,7157,7157,7157
STP,56,56,56,53.6,53.6
SUR,15430,15391,15371,15351,15332
SVK,1922,1921,1932,1939,1940
SVN,1188,1233,1243,1247,1248
SWE,28063,28163,28218,28073,28073
SWZ,472,518,541,563,586
SYC,40.666,40.666,40.666,40.666,40.666
SYR,372,432,461,491,491
TCA,34.4,34.4,34.4,34.4,34.4
TCD,6705,6326,6141,5508,4875
TGO,685,486,386,287,188
THA,14005,17011,16100,16249,16399
TJK,408,410,410,410,412
TKL,0,0,0,0,0
TKM,4127,4127,4127,4127,4127
TLS,966,854,798,742,686
TON,9,9,9,9,9
TTO,240.7,233.6,230,226.4,234.476
TUN,643,837,915,990,1041
TUR,9622,10183,10662,11203,11715
TUV,1,1,1,1,1
TZA,55920,51920,49920,47920,46060
UGA,4751,3869,3429,2753,2077
UKR,9274,9510,9575,9548,9657
URY,797.8,1369.7,1521.8,1731.3,1845
USA,302450,303536,304757,308720,310095
UZB,3045,3212,3295,3275.5,3219.9
VAT,0,0,0,0,0
VCT,25,26,26,27,27
VEN,52026,49151,47713,47505,46683
VGB,3.71,3.67,3.66,3.64,3.62
VIR,23.58,20.47,18.73,18.16,17.6
VNM,9363,11727,13077,14128,14773
VUT,440,440,440,440,440
WLF,5.8,5.81,5.81,5.82,5.83
WSM,130,171,171,171,171
YEM,549,549,549,549,549
ZAF,9241,9241,9241,9241,9241
ZMB,52800,51134,50301,49468,48635
ZWE,22164,18894,17259,15624,14062
