LBR,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0
LCA,0,0,0,0,0,0,0
LIE,0,7.372,0,0,0,0,0
LKA,17.51,17.799,23.172,15.183,14.603,17.522,17.03
LSO,0,0,0,0,0,0,0
LTU,0,1005.526,1033.198,1073.221,1083.79,1094.502,1140.24
LUX,0,16.627,46.331,39.225,41.054,38.951,41.395
LVA,0,1687.062,1622.59,1798.671,2541.221,1862.894,1898.679
MAC,0,0,0,0,0,0,0
MAF,0,0,0,0,0,0,0
MAR,0,0,20.27,0,0,0,0
MCO,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0
MDG,0,0,1,0,1.298,0,1.298
MDV,0,0,0,0,0,0,0
MEX,99.189,823.459,867.072,834.299,921.387,849.615,1205.334
MHL,0,0,0,0,0,0,0
MKD,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0
MNE,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0
MNP,0,0,0,0,0,0,0
MOZ,0,0,71.061,59.905,49.132,50.753,50.753
MRT,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0
MTQ,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0
MYS,55.139,73.303,1618.758,5228.453,4515.714,4736.86,5011.183
MYT,0,0,0,0,0,0,0
NAM,54.42,292.157,277.315,142.474,152.888,225.477,212.009
NCL,0,0,0,0,0,0,0
NER,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0
NIC,0,42.455,25.766,25.554,21.696,25.931,22.903
NIU,0,0,0,0,0,0,0
NLD,53.059,99.03,152.085,167.135,136.311,169.647,171.235
NOR,3000,9236.8,9095.579,9218.403,9149.601,7414.176,7380.75
NPL,0,14.145,14.145,0,0,0,0
NRU,0,0,0,0,0,0,0
NZL,19.695,902.107,1071.838,1262.902,1263.82,1271.38,1283.361
OMN,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0
PAN,0.544,5.837,58.528,44.217,42.884,22.501,22.501
PCN,0,0,0,0,0,0,0
PER,0,30.386,673.716,550.517,498.837,669.724,805.831
PHL,0,0,0,0,0,0,0
PLW,0,0,0,0,0,0,0
PNG,4.31,27.354,2.705,38.099,36.491,37.575,37.575
POL,1973.955,6977.564,6376.834,7416.476,7346.347,7261.238,7169.08
PRI,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0
PRT,0,101.3,435.845,360.98,374.633,386.287,424.73
PRY,0,2.7,13.245,25.022,25.022,38.88,41.686
PSE,0,0,0,0,0,0,0
PYF,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0
ROU,0,48.9,914.676,2523.395,2523.707,2630.427,2728.308
RUS,49.4,4915.993,26703.248,42747.908,43910.976,47800.717,48846.021
RWA,0,0,0,0,0,0,0
SAU,0,0,0,0,0,0,0
SDN,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0
SGP,0,0,0,0,0,0,0
SGS,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0
SJM,0,0,0,0,0,0,0
SLB,1.356,39.402,0,65.028,39.401,40.446,39.406
SLE,0,0,0,0,0,3.137,3.137
SLV,0,0,0,0,0,0,0
SMR,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0
SPM,0,0,0,0,0,0,0
SRB,0,0,371.659,1001.943,1001.347,963.955,963.228
SSD,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0
SUR,0,0,89.124,364.48,386.2,363.09,46.325
SVK,0,68.854,1321.196,1277.657,1291.972,1295.482,1284.013
SVN,0,0,212.104,294.011,293.215,297.259,301.082
SWE,11856.501,12301.049,13475.407,15575.284,16371.472,16600.753,16853.029
SWZ,0,17.018,114.465,114.761,124.527,120.674,123.497
SXM,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0
TCA,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0
THA,0,2.94,7.643,44.237,61.795,63.374,56.877
TJK,0,0,0,0,0,0,0
TKL,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0
TLS,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0
TUR,0,0,0,2359.473,2365.753,2350.078,2396.877
TUV,0,0,0,0,0,0,0
TZA,0,0,20.799,142.731,172.052,183.697,221.749
UGA,0,191.6,222.847,38.974,38.975,40.875,41.321
UKR,0,143.357,1262.52,3147.421,2992.592,3764.071,4092.677
UMI,0,0,0,0,0,0,0
URY,0,132.524,815,1234.068,1078.375,1062.827,1197.35
USA,2276.651,26144.19502,35989.61333,37870.737,38265.103,38167.861,38731.476
UZB,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0
VEN,0,139.634,139.634,150.14,155.839,155.839,16.752
VGB,0,0,0,0,0,0,0
VIR,0,0,0,0,0,0,0
VNM,0,0,9.782,133.613,157.317,230.53,227.386
VUT,0,0,0,0,0,0,0
WLF,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0
ZAF,1001.505,1720.727,2150.646,1275.318,1459.436,1400.584,1472.629
ZMB,0,0,0,0,0,0,0
ZWE,56.457,104.043,0,0,0,0,0
