ISO 3,M49,#,Country name,Land area 2015 (1000 ha) as of FAOSTAT,Comment
SPM,666,179,Saint Pierre and Miquelon  ,23,
VCT,670,180,Saint Vincent and the Grenadines,39,
BLM,652,181,Saint-Barth_lemy,2,
WSM,882,182,Samoa,283,
SMR,674,183,San Marino,6,
STP,678,184,Sao Tome and Principe,96,
SAU,682,185,Saudi Arabia,214969,
SEN,686,186,Senegal,19253,
SRB,688,187,Serbia,8746,
SYC,690,188,Seychelles,46,
SLE,694,189,Sierra Leone  ,7218,
SGP,702,190,Singapore,71,
SXM,534,191,Sint Maarten (Dutch part),,Former Netherlands Antilles
SVK,703,192,Slovakia,4808,
SVN,705,193,Slovenia,2014,
SLB,90,194,Solomon Islands  ,2799,
SOM,706,195,Somalia,62734,
ZAF,710,196,South Africa,121309,
SSD,728,197,South Sudan,63173,
ESP,724,198,Spain,50023,
LKA,144,199,Sri Lanka,6271,
SDN,729,200,Sudan  ,186665,
SUR,740,201,Suriname  ,15600,
SJM,744,202,Svalbard and Jan Mayen Islands,6100,
SWZ,748,203,Swaziland  ,1720,
SWE,752,204,Sweden,40731,
CHE,756,205,Switzerland  ,3952,
SYR,760,206,Syrian Arab Republic  ,18363,
TJK,762,207,Tajikistan  ,13879,
THA,764,208,Thailand  ,51089,
MKD,807,209,The former Yugoslav Republic of Macedonia,2522,
TLS,626,210,Timor-Leste,1487,
TGO,768,211,Togo  ,5439,
TKL,772,212,Tokelau,1,
TON,776,213,Tonga,72,
TTO,780,214,Trinidad and Tobago  ,513,
TUN,788,215,Tunisia,15536,
TUR,792,216,Turkey,76963,
TKM,795,217,Turkmenistan  ,46993,
TCA,796,218,Turks and Caicos Islands,95,
TUV,798,219,Tuvalu,3,
UGA,800,220,Uganda  ,20052,
UKR,804,221,Ukraine  ,57929,
ARE,784,222,United Arab Emirates,8360,
GBR,826,223,United Kingdom,24193,
TZA,834,224,United Republic of Tanzania,88580,
USA,840,225,United States of America  ,914742,
VIR,850,226,United States Virgin Islands  ,35,
URY,858,227,Uruguay  ,17502,
UZB,860,228,Uzbekistan,42540,
VUT,548,229,Vanuatu,1219,
VEN,862,230,Venezuela (Bolivarian Republic of),88205,
VNM,704,231,Viet Nam  ,31007,
WLF,876,232,Wallis and Futuna Islands,14,
ESH,732,233,Western Sahara,26600,
YEM,887,234,Yemen  ,52797,
ZMB,894,235,Zambia,74339,
ZWE,716,236,Zimbabwe,38685,
X01,,,Atlantis 1,4412,
X02,,,Atlantis 2,4412,
X03,,,Atlantis 3,4412,
X04,,,Atlantis 4,4412,
X05,,,Atlantis 5,4412,
X06,,,Atlantis 6,4412,
X07,,,Atlantis 7,4412,
X08,,,Atlantis 8,4412,
X09,,,Atlantis 9,4412,
X10,,,Atlantis 10,4412,
X11,,,Atlantis 11,4412,
X12,,,Atlantis 12,4412,
X13,,,Atlantis 13,4412,
X14,,,Atlantis 14,4412,
X15,,,Atlantis 15,4412,
X16,,,Atlantis 16,4412,
X17,,,Atlantis 17,4412,
X18,,,Atlantis 18,4412,
X19,,,Atlantis 19,4412,
X20,,,Atlantis 20,4412,
