,TOTAL CERTIFIED (Sum FSC +PEFC),,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,33.82,53.01,77.58,77.92,77.92,222.64,207.96,310.58,449.84,525.9,254.68,262.221,276.368,275.43561,470.86022,490.52721
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,1487.77,5677.14,6246.08,9224.39,8414.08,7904.39,10749.73,10888.78,11086.05,11366.653,11136.92,11360.1791,27961.6771,25315.94814
AUT,550,3050,3930.8,3931.48,3931.48,3931.77,3965.14,3964.97,2043.29,1961.09,1960.8,2384.41,2650.43,2741.57,2782.575,2891.511,2949.50981,3051.10181
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,4.51,166.51,237.17,250.17,255.17,266.29,271.67,297.81,292.69,302.84,312.61,310.016,310.155,321.7592,321.0362,322.7592
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,20.2,21.61,106.2,104.36,303.58,217.55,218.39,193.844,637.129,706.6528,561.685,1290.1978
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,62.23,170.93,123.24,108.69,988.28,1005.53,1289.151,1519.235,1496.1149,1495.526,1532.62544
BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,107.2,107.2,107.2,107.2,2516.5,2516.5,3644.6,11721.3,11913.6,14770.4,9907.508,13157.274,15728.5645,17204.8238,17327.5623
BLZ,0,0,104.89,104.89,104.89,104.89,104.89,104.89,104.89,104.89,104.89,169.93,169.93,169.932,65.044,150.83,197.122,197.122
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,580.73,761.63,953.08,1160.79,1464.13,1869.78,1825.41,1774,1744.09,1335.42,1272.89,907.897,890.628,890.52927,890.37477,981.86177
BRA,638.41,940.09,1240.68,1336.83,1615.27,3674.27,3836.86,5722.29,6500.22,6616.43,7352.34,8241.83,8684.21,9039.617,7282.391,8710.10334,9095.85136,9797.40749
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1070,8333.25,13780.59,29987.46,39898.82,51366.01,50969.74,63491.29,66688.27,74687.55,90731.57,101346.72,111658.77,178894.748,171963.239,174726.6584,183972.7402,186770.4715
CHE,0,0,0,0,855.961,1084.724,1127.125,1122.262,1129.931,1118.565,1073.169,1038.816,1025.426,829.895,766.532,808.873,831.47,822.294
CHL,0,0,0,927.76,1612.32,1637.09,1757.84,2115.61,2220.69,2298.05,2354.37,2471.45,2480.08,3042.23,4252.913,4299.00641,4230.15509,4187.34123
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,3132.638,3144.452,6774.11437,6527.08088,6801.08478
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,97.04,0,167.46,564.24,705.06,1104.63,639.56,1013.374,1013.374,942.462,940.94487,1130.30148
COD,0,0,0,0,0,0,0,0,0,0,0,523.34,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,296,748.2,1907.84,1907.84,2431,2478.94,1574.31,1319.3,2443.186,2625.003,2478.943
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,113.52,127.204,137.68801,144.0245,132.4852
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,101.15,92.23,73.41,74.97,74.97,51.41,63.07,52.92,56.24,44.03,38.21,32.382,52.74,54.90892,46.67695,41.87013
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,11.34,11.34,1800.34,1921.087,1950.128,1983.221,2009.784,1888.855,1989.521,1877.398,1897.091,1906.261,1877.506,1895.185,1894.637,1865.35211,1825.56731,1847.49948
DEU,3020,5300,6417.06,7233.07,7397.54,7586.54,7712.91,7747.65,7566.08,7795.08,7765.36,7780.19,8034.85,7770.961,8323.961,8389.6915,8392.46882,8541.31084
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,7,12,14,24,393,400,409,419,442,449,421.664,452.557,460.87,471.43,474.321
DOM,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.3653
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0,26.53,26.53,26.53,26.53,26.53,10.03,32.05,23.67,41.22,16.69,60.7,53.765,52.58,54.42226,55.544,56.60409
EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,86.68,94.61,322.49,488.31,631.57,1212.9,1200.36,1272.05,1429.78,1603.31,1731.81,1740.377,1812.053,2044.76095,2180.65602,2315.4936
EST,0,0,1082.6,1082.6,1082.6,1083.05,1083.36,1063.91,1083.23,1082.92,1133.428,1965.408,2004.188,2039.098,3013.048,2217.93262,2396.20889,2588.76942
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,21.91,21.91,22,22298.255,22355.686,22367.286,22153.662,20729.225,20729.315,20815.745,20796.646,21068.593,21294.99,21362.813,21081.786,16271.19924,17762.984,19026.3186
FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.68,85.385,85.385,85.385
FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,1.1,11.9,808.5,2898.4,3638,4085.3,4418.8,4593.7,5084.3,5109.4,5168.4,5052.1,5240.5,6890.899,7944.974,8104.89491,8157.537,8242.81345
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,1873.51,1873.51,1873.51,1873.51,1873.505,2053.505,1185.243,2033.627,2042.616
GBR,0,1061.1,1075.4,0,1159.9,1257.1,1272.5,1324.9,1309.7,1332,1347.3,1325.1,2457.2,2888.692,2949.464,2960.91859,2999.80588,3020.72175
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,150.51,1.78,242.42,1.57,1.675,1.675,3.367,3.367,3.44734
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,0,0,36.63,36.63,31.53,31.53,36.63,0,0,0,0,0,0,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,165.68,317.5,311.24,508.63,450.77,509.96,422.8,457.63,248.43,500.5,496.57,433.596,464.875,499.57454,497.96763,439.02201
GUF,0,0,0,0,0,0,0,0,0,0,0,0,2425,2425,2425,0,0,0
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,570,0,371.68,371.68,371.68,371.68,0,0,0,0,0,371.68
HND,0,0,22.83,22.83,22.83,24.58,24.58,49.15,34.85,34.85,50.54,114.32,152.68,128.343,87.755,55.6,20.16433,17.81526
HRV,0,0,1324,1324,1323,1323,1322,1322,1322,1321,1321,1321,1320,2038.296,2038.296,2039.123,2039.22336,2039.24069
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
