ABW,en,TRUE
AFG,en,FALSE
AGO,fr,FALSE
AIA,en,TRUE
ALB,en,TRUE
AND,fr,FALSE
ARE,en,TRUE
ARG,es,FALSE
ARM,en,FALSE
ASM,en,FALSE
ATG,en,TRUE
AUS,en,FALSE
AUT,en,FALSE
AZE,en,FALSE
BDI,fr,FALSE
BEL,fr,FALSE
BEN,fr,FALSE
BES,en,TRUE
BFA,fr,FALSE
BGD,en,FALSE
BGR,en,FALSE
BHR,en,TRUE
BHS,en,FALSE
BIH,en,TRUE
BLM,fr,TRUE
BLR,en,FALSE
BLZ,en,FALSE
BMU,en,TRUE
BOL,es,FALSE
BRA,en,FALSE
BRB,en,FALSE
BRN,en,FALSE
BTN,en,FALSE
BWA,en,FALSE
CAF,fr,FALSE
CAN,en,FALSE
CHE,fr,FALSE
CHL,es,FALSE
CHN,en,FALSE
CIV,fr,FALSE
CMR,fr,FALSE
COD,fr,FALSE
COG,fr,FALSE
COK,en,FALSE
COL,es,FALSE
COM,fr,FALSE
CPV,fr,FALSE
CRI,es,FALSE
CUB,es,FALSE
CUW,en,TRUE
CYM,en,TRUE
CYP,en,FALSE
CZE,en,FALSE
DEU,en,FALSE
DJI,fr,FALSE
DMA,en,FALSE
DNK,en,FALSE
DOM,es,FALSE
DZA,fr,FALSE
ECU,es,FALSE
EGY,en,FALSE
ERI,en,FALSE
ESH,en,TRUE
ESP,es,FALSE
EST,en,FALSE
ETH,en,FALSE
FIN,en,FALSE
FJI,en,FALSE
FLK,en,TRUE
FRA,fr,FALSE
FRO,en,FALSE
FSM,en,FALSE
GAB,fr,FALSE
GBR,en,FALSE
GEO,en,FALSE
GGY,en,TRUE
GHA,en,FALSE
GIB,en,TRUE
GIN,fr,FALSE
GLP,fr,FALSE
GMB,en,FALSE
GNB,fr,TRUE
GNQ,es,FALSE
GRC,en,FALSE
GRD,en,FALSE
GRL,en,FALSE
GTM,es,FALSE
GUF,fr,FALSE
GUM,en,FALSE
GUY,en,FALSE
HND,es,FALSE
HRV,en,FALSE
HTI,fr,FALSE
HUN,en,FALSE
IDN,en,FALSE
IMN,en,TRUE
IND,en,FALSE
IRL,en,FALSE
IRN,en,FALSE
IRQ,en,FALSE
ISL,en,FALSE
ISR,en,FALSE
ITA,en,FALSE
JAM,en,FALSE
JEY,en,TRUE
JOR,en,FALSE
JPN,en,FALSE
KAZ,en,FALSE
KEN,en,FALSE
KGZ,en,FALSE
KHM,en,FALSE
KIR,en,TRUE
KNA,en,TRUE
KOR,en,FALSE
KWT,en,TRUE
LAO,en,FALSE
LBN,fr,FALSE
LBR,en,FALSE
LBY,en,TRUE
LCA,en,FALSE
LIE,fr,FALSE
LKA,en,FALSE
LSO,en,FALSE
LTU,en,FALSE
LUX,fr,FALSE
LVA,en,FALSE
MAF,fr,TRUE
MAR,fr,FALSE
MCO,fr,TRUE
MDA,en,FALSE
MDG,fr,FALSE
MDV,en,FALSE
MEX,es,FALSE
MHL,en,FALSE
MKD,en,TRUE
MLI,fr,FALSE
MLT,en,FALSE
MMR,en,FALSE
MNE,en,FALSE
MNG,en,FALSE
MNP,en,FALSE
MOZ,en,FALSE
MRT,fr,FALSE
MSR,en,TRUE
MTQ,fr,FALSE
MUS,en,FALSE
MWI,en,FALSE
MYS,en,FALSE
MYT,fr,FALSE
NAM,en,FALSE
NCL,fr,TRUE
NER,fr,FALSE
NFK,en,TRUE
NGA,en,FALSE
NIC,es,FALSE
NIU,en,FALSE
NLD,en,FALSE
NOR,en,FALSE
NPL,en,FALSE
NRU,en,TRUE
NZL,en,FALSE
OMN,en,FALSE
PAK,en,FALSE
PAN,es,FALSE
PCN,en,TRUE
PER,es,FALSE
PHL,en,FALSE
PLW,en,FALSE
PNG,en,FALSE
POL,en,FALSE
PRI,en,FALSE
PRK,en,TRUE
PRT,en,FALSE
PRY,es,FALSE
PSE,en,TRUE
PYF,fr,TRUE
QAT,en,TRUE
REU,fr,FALSE
ROU,en,FALSE
RUS,en,FALSE
RWA,fr,TRUE
SAU,en,TRUE
SDN,en,FALSE
SEN,fr,FALSE
SGP,en,FALSE
SHN,fr,TRUE
SJM,en,FALSE
SLB,en,FALSE
SLE,en,FALSE
SLV,es,FALSE
SMR,en,TRUE
SOM,en,FALSE
SPM,fr,TRUE
SRB,en,FALSE
SSD,en,FALSE
STP,fr,FALSE
SUR,en,FALSE
SVK,en,FALSE
SVN,en,FALSE
SWE,en,FALSE
SWZ,en,FALSE
SXM,en,TRUE
SYC,en,FALSE
SYR,en,FALSE
TCA,en,TRUE
TCD,fr,FALSE
TGO,fr,FALSE
THA,en,FALSE
TJK,en,FALSE
TKL,en,TRUE
TKM,en,TRUE
TLS,en,FALSE
TON,en,FALSE
TTO,en,FALSE
TUN,fr,FALSE
TUR,en,FALSE
TUV,en,FALSE
TZA,en,FALSE
UGA,en,FALSE
UKR,en,FALSE
URY,es,FALSE
USA,en,FALSE
UZB,en,FALSE
VAT,fr,TRUE
VCT,en,FALSE
VEN,es,FALSE
VGB,en,TRUE
VIR,en,FALSE
VNM,en,FALSE
VUT,en,FALSE
WLF,fr,TRUE
WSM,en,FALSE
YEM,en,FALSE
ZAF,en,FALSE
ZMB,en,FALSE
ZWE,en,FALSE
