country_iso,list_name_en,full_name_en,language
"MCO","Monaco","the Principality of Monaco","en"
"MDA","Republic of Moldova","the Republic of Moldova","en"
"MDG","Madagascar","the Republic of Madagascar","en"
"MDV","Maldives","the Republic of Maldives","en"
"MEX","Mexico","the United Mexican States","en"
"MHL","Marshall Islands","the Republic of the Marshall Islands","en"
"MKD","North Macedonia","North Macedonia","en"
"MLI","Mali","the Republic of Mali","en"
"MLT","Malta","the Republic of Malta","en"
"MMR","Myanmar","the Republic of the Union of Myanmar","en"
"MNE","Montenegro","Montenegro","en"
"MNG","Mongolia","Mongolia","en"
"MNP","Northern Mariana Islands","The Commonwealth of the Northern Mariana Islands","en"
"MOZ","Mozambique","the Republic of Mozambique","en"
"MRT","Mauritania","the Islamic Republic of Mauritania","en"
"MSR","Montserrat","Montserrat","en"
"MTQ","Martinique","Martinique","en"
"MUS","Mauritius","the Republic of Mauritius","en"
"MWI","Malawi","the Republic of Malawi","en"
"MYS","Malaysia","Malaysia","en"
"MYT","Mayotte","Mayotte","en"
"NAM","Namibia","the Republic of Namibia","en"
"NCL","New Caledonia","New Caledonia","en"
"NER","Niger","the Republic of the Niger","en"
"NFK","Norfolk Island","Territory of Norfolk Island","en"
"NGA","Nigeria","the Federal Republic of Nigeria","en"
"NIC","Nicaragua","the Republic of Nicaragua","en"
"NIU","Niue","Niue","en"
"NLD","Netherlands","the Kingdom of the Netherlands","en"
"NOR","Norway","the Kingdom of Norway","en"
"NPL","Nepal","the Federal Democratic Republic of Nepal","en"
"NRU","Nauru","the Republic of Nauru","en"
"NZL","New Zealand","New Zealand","en"
"OMN","Oman","the Sultanate of Oman","en"
"PAK","Pakistan","the Islamic Republic of Pakistan","en"
"PAN","Panama","the Republic of Panama","en"
"PCN","Pitcairn Islands","Pitcairn Islands","en"
"PER","Peru","the Republic of Peru","en"
"PHL","Philippines","the Republic of the Philippines","en"
"PLW","Palau","the Republic of Palau","en"
"PNG","Papua New Guinea","Independent State of Papua New Guinea","en"
"POL","Poland","the Republic of Poland","en"
"PRI","Puerto Rico","the Commonwealth of Puerto Rico","en"
"PRK","Democratic People's Republic of Korea","the Democratic People's Republic of Korea","en"
"PRT","Portugal","the Portuguese Republic","en"
"PRY","Paraguay","the Republic of Paraguay","en"
"PSE","Palestine","Palestine","en"
"PYF","French Polynesia","French Polynesia","en"
"QAT","Qatar","the State of Qatar","en"
"REU","Réunion","Réunion","en"
"ROU","Romania","Romania","en"
"RUS","Russian Federation","the Russian Federation","en"
"RWA","Rwanda","the Republic of Rwanda","en"
"SAU","Saudi Arabia","the Kingdom of Saudi Arabia","en"
"SDN","Sudan","the Republic of the Sudan","en"
"SEN","Senegal","the Republic of Senegal","en"
"SGP","Singapore","the Republic of Singapore","en"
"SHN","Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha","en"
"SJM","Svalbard and Jan Mayen Islands","Svalbard and Jan Mayen Islands","en"
"SLB","Solomon Islands","Solomon Islands","en"
"SLE","Sierra Leone","the Republic of Sierra Leone","en"
"SLV","El Salvador","the Republic of El Salvador","en"
"SMR","San Marino","the Republic of San Marino","en"
"SOM","Somalia","the Federal Republic of Somalia","en"
"SPM","Saint Pierre and Miquelon","Saint Pierre and Miquelon","en"
"SRB","Serbia","the Republic of Serbia","en"
"SSD","South Sudan","the Republic of South Sudan","en"
"STP","Sao Tome and Principe","the Democratic Republic of Sao Tome and Principe","en"
"SUR","Suriname","the Republic of Suriname","en"
"SVK","Slovakia","the Slovak Republic","en"
"SVN","Slovenia","the Republic of Slovenia","en"
"SWE","Sweden","the Kingdom of Sweden","en"
"SWZ","Eswatini","the Kingdom of Eswatini","en"
"SXM","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","en"
"SYC","Seychelles","the Republic of Seychelles","en"
"SYR","Syrian Arab Republic","the Syrian Arab Republic","en"
"TCA","Turks and Caicos Islands","Turks and Caicos Islands","en"
"TCD","Chad","the Republic of Chad","en"
"TGO","Togo","the Togolese Republic","en"
"THA","Thailand","the Kingdom of Thailand","en"
"TJK","Tajikistan","the Republic of Tajikistan","en"
"TKL","Tokelau (Associate Member)","Tokelau","en"
"TKM","Turkmenistan","Turkmenistan","en"
"TLS","Timor-Leste","the Democratic Republic of Timor-Leste","en"
"TON","Tonga","the Kingdom of Tonga","en"
"TTO","Trinidad and Tobago","the Republic of Trinidad and Tobago","en"
"TUN","Tunisia","the Republic of Tunisia","en"
"TUR","Turkey","the Republic of Turkey","en"
"TUV","Tuvalu","Tuvalu","en"
"TZA","United Republic of Tanzania","the United Republic of Tanzania","en"
"UGA","Uganda","the Republic of Uganda","en"
